     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u   55   64  377   21.206   -4.556   2.596
-time.shf.uk.as4 198.137.202.11   3 u   46   64  377   24.130   -4.625   1.257
-kabel.kashra-se .PPS.            1 u   56   64  377   57.563  -12.299   6.632
-185.216.231.116 52.239.121.49    3 u   54   64  377  166.165  -11.957   0.598
+ntp1.ds.network 92.21.53.217     2 u   55   64  377   30.503   -3.782   5.821
-crimson.en.kku. 202.28.116.236   2 u   48   64  377  220.642   -1.551   2.239
+chilipepper.can 17.253.34.251    2 u   53   64  377   24.952   -3.499   1.898
+golem.canonical 17.253.108.253   2 u   52   64  377   25.334   -3.170   3.716
-alphyn.canonica 194.58.200.20    2 u   54   64  377   80.397   -4.223   2.233
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u    5  128  377   20.327   -0.468   1.226
-time.shf.uk.as4 198.137.202.11   3 u    4  128  377   24.798   -1.376   1.627
-kabel.kashra-se .PPS.            1 u   18   64  377   60.071   -8.754   2.993
-185.216.231.116 52.239.121.49    3 u   10   64  273  167.523   -9.557   1.243
+ntp1.ds.network 92.21.53.217     2 u   10   64  377   30.237   -1.835   1.786
-crimson.en.kku. 202.28.116.236   2 u  132   64  376  219.814    0.469   3.523
+chilipepper.can 17.253.34.251    2 u    8   64  373   24.313   -1.322   2.452
+golem.canonical 17.253.108.125   2 u   18   64  377   24.588   -1.113   2.015
-alphyn.canonica 194.58.200.20    2 u   86  128  377   81.054   -2.326   1.587
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u   13  128  377   20.021   -0.419   2.301
